player_id,name,team,season,season_end,salary,career_PTS,career_AST,career_TRB,career_WS,career_PER,log_salary,log_pred_salary,pred_salary,ValueScore
morrima02,Markieff Morris,Phoenix Suns,2013-14,2014,2091840,11.6,1.7,5.5,23.7,14.1,14.553554619406501,14.643039092424663,2287657.8802179853,195817.88021798525
haddaha01,Hamed Haddadi,Phoenix Suns,2013-14,2014,200000,2.2,0.3,2.5,1.6,13.3,12.206072645530174,12.888122062196764,395585.4356472835,195585.4356472835
prigipa01,Pablo Prigioni,Houston Rockets,2016-17,2017,1050961,3.5,2.8,1.9,10.4,12.3,13.865215541653937,14.035816489744587,1246458.0033787338,195497.00337873376
derozde01,DeMar DeRozan,Toronto Raptors,2012-13,2013,3344250,19.9,3.4,4.3,60.3,17.9,15.022753011157834,15.079561947215092,3539733.3138980884,195483.3138980884
pendeje02,Jeff Ayres,Portland Trail Blazers,2009-10,2010,457588,2.9,0.4,2.7,6.3,12.4,13.033724494927652,13.38674147720351,651310.3118989627,193722.3118989627
griffbl01,Blake Griffin,Los Angeles Clippers,2011-12,2012,5731080,21.9,4.5,9.0,75.3,22.2,15.561414552605875,15.594580296597373,5924342.66726621,193262.6672662096
thomaty01,Tyrus Thomas,Chicago Bulls,2008-09,2009,3749880,7.7,0.9,4.8,13.0,14.8,15.137234397434582,15.18745723039,3943018.995567478,193138.99556747777
chrisra01,Rakeem Christmas,Indiana Pacers,2017-18,2018,172552,2.1,0.1,1.9,0.5,11.0,12.05845391930221,12.809510176538504,365678.6336512556,193126.63365125557
jordade01,DeAndre Jordan,Los Angeles Clippers,2009-10,2010,736420,9.6,0.9,10.9,83.4,18.5,13.509555887124892,13.742412668112092,929509.8359917218,193089.83599172183
greenge01,Gerald Green,Los Angeles Lakers,2011-12,2012,73818,9.7,0.9,2.5,18.4,13.0,11.209357883288224,12.494062761924129,266748.824371355,192930.824371355
mcgeeja01,JaVale McGee,Washington Wizards,2008-09,2009,1392240,8.0,0.4,5.1,31.9,19.5,14.146424518808056,14.276111284454606,1585025.86608138,192785.86608138005
boganke01,Keith Bogans,San Antonio Spurs,2009-10,2010,1033342,6.3,1.3,2.7,20.4,9.6,13.848308767848868,14.019142976339733,1225847.4716250459,192505.47162504587
blackta01,Tarik Black,Los Angeles Lakers,2015-16,2016,845059,4.9,0.5,4.7,7.7,14.4,13.647161726387042,13.851359144285155,1036498.8944978653,191439.89449786535
mahinia01,Ian Mahinmi,San Antonio Spurs,2008-09,2009,1009200,5.0,0.5,4.3,24.7,12.9,13.824668495749039,13.998325683643584,1200592.4288526236,191392.42885262356
johnsty01,Tyler Johnson,Miami Heat,2014-15,2015,507336,11.0,2.5,3.3,15.0,13.8,13.136928784963631,13.456422712307628,698313.0048926437,190977.00489264366
wallara01,Rasheed Wallace,Boston Celtics,2010-11,2011,6322320,14.4,1.8,6.7,105.1,17.0,15.659596787370097,15.689354575530247,6513285.523163466,190965.52316346578
bareajo01,J.J. Barea,Dallas Mavericks,2010-11,2011,1815000,9.0,3.9,2.1,23.1,14.5,14.411596025681089,14.511397192167271,2005486.418749902,190486.41874990193
millspa02,Patty Mills,Portland Trail Blazers,2009-10,2010,457588,8.4,2.4,1.7,27.5,14.4,13.033724494927652,13.380979513188564,647568.2764091857,189980.27640918572
thompja02,Jason Thompson,Sacramento Kings,2008-09,2009,1893840,8.9,1.1,6.6,23.8,13.5,14.454117071863026,14.549651427043443,2083691.0598733893,189851.0598733893
shumpim01,Iman Shumpert,New York Knicks,2013-14,2014,1703760,7.3,1.9,3.4,12.9,9.8,14.348348131381377,14.453844337008173,1893323.5542520632,189563.55425206316
gallola01,Langston Galloway,New York Knicks,2014-15,2015,235762,8.2,1.7,2.6,10.7,11.4,12.370578100578852,12.95878958478464,424551.9195465091,188789.9195465091
korveky01,Kyle Korver,Chicago Bulls,2010-11,2011,5000000,9.9,1.7,3.0,70.9,12.8,15.424948470398375,15.461997078896648,5188717.313817559,188717.3138175588
mayse01,Sean May,Sacramento Kings,2009-10,2010,884881,6.9,1.0,4.0,2.6,14.9,13.693208451672234,13.886430946182632,1073495.7595563359,188614.75955633586
chalmma01,Mario Chalmers,Miami Heat,2008-09,2009,700000,8.9,3.7,2.5,32.3,12.7,13.458835614025542,13.697417180754377,888613.0725310618,188613.07253106183
fournev01,Evan Fournier,Denver Nuggets,2012-13,2013,1361400,13.5,2.5,2.8,19.4,13.3,14.124024139995988,14.253460171569289,1549526.8303815995,188126.8303815995
mohamna01,Nazr Mohammed,Chicago Bulls,2013-14,2014,1399507,5.8,0.4,4.7,34.3,15.0,14.15163058971149,14.277519167941902,1587258.9694309793,187751.96943097934
jefferi01,Richard Jefferson,Cleveland Cavaliers,2015-16,2016,1499000,12.6,2.0,4.0,83.0,14.4,14.220308777084735,14.338207776503962,1686570.5697298476,187570.5697298476
harrito02,Tobias Harris,Milwaukee Bucks,2011-12,2012,1418160,15.4,1.9,6.0,39.4,16.7,14.164870814687665,14.288926505861511,1605469.0355817133,187309.0355817133
meeksjo01,Jodie Meeks,Washington Wizards,2017-18,2018,3290000,9.3,1.1,2.1,24.3,12.8,15.006398122741555,15.061657360278282,3476919.8535990817,186919.85359908175
zelleco01,Cody Zeller,Charlotte Hornets,2016-17,2017,5318313,8.2,1.4,5.8,24.1,15.5,15.486666705766163,15.521120195035184,5504740.538378613,186427.53837861307
elyme01,Melvin Ely,New Orleans Hornets,2008-09,2009,998398,5.3,0.7,3.2,4.0,10.6,13.813907273390166,13.985022335195554,1184726.299746594,186328.29974659393
mcdankj01,K.J. McDaniels,Toronto Raptors,2017-18,2018,100000,5.3,0.6,2.2,1.3,10.8,11.512925464970229,12.564881272424486,286324.56025054003,186324.56025054003
blatcan01,Andray Blatche,Washington Wizards,2009-10,2010,3000000,10.1,1.4,5.4,19.2,16.8,14.914122846632385,14.974284600143692,3186024.9486809964,186024.94868099643
scalabr01,Brian Scalabrine,Chicago Bulls,2010-11,2011,1229255,3.1,0.8,2.0,7.6,7.7,14.02191885278676,14.162603391396978,1414948.073760358,185693.07376035792
richaqu01,Quentin Richardson,Orlando Magic,2011-12,2012,2446600,10.3,1.5,4.7,32.8,12.9,14.710209863594953,14.783317465413994,2632165.5421786094,185565.5421786094
hamilju01,Justin Hamilton,Minnesota Timberwolves,2014-15,2015,816482,6.1,0.8,3.6,3.7,13.9,13.612760145834285,13.817179270711842,1001670.1058234579,185188.10582345794
feltora01,Raymond Felton,Charlotte Bobcats,2008-09,2009,4148716,11.2,5.2,3.0,40.2,13.8,15.23830944674321,15.281876765680426,4333459.60383816,184743.6038381597
cunnida01,Dante Cunningham,Portland Trail Blazers,2009-10,2010,457588,5.8,0.7,3.7,24.9,11.1,13.033724494927652,13.371654512530924,641557.7693508322,183969.7693508322
randlju01,Julius Randle,Los Angeles Lakers,2017-18,2018,4149242,15.4,2.7,8.9,17.8,17.7,15.238436224921818,15.28181371268811,4333186.3748571025,183944.37485710252
harremo01,Montrezl Harrell,Los Angeles Clippers,2017-18,2018,1471382,11.2,1.2,4.4,19.2,22.1,14.201712653158227,14.319370977785567,1655098.3281130583,183716.32811305835
goberru01,Rudy Gobert,Utah Jazz,2013-14,2014,1078800,11.1,1.3,10.5,52.8,21.5,13.891359870247712,14.04845915459631,1262316.5903353393,183516.5903353393
